"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 22 15:45:53 IST 2023","Fri Dec 22 15:45:54 IST 2023","1413","tests.integration_test","test_crud","TestCRUD","","","test_create_token",""
"passed","Fri Dec 22 15:45:56 IST 2023","Fri Dec 22 15:45:57 IST 2023","1717","tests.integration_test","test_crud","TestCRUD","","","test_update_booking",""
"passed","Fri Dec 22 15:45:54 IST 2023","Fri Dec 22 15:45:56 IST 2023","1551","tests.integration_test","test_crud","TestCRUD","","","test_create_booking",""
"passed","Fri Dec 22 15:45:57 IST 2023","Fri Dec 22 15:45:59 IST 2023","1653","tests.integration_test","test_crud","TestCRUD","","","test_delete_booking",""
